id,MLM,HLM
TEST_000,2.7052658423781395,18.129526153206825
TEST_001,7.203892730176449,19.23324804753065
TEST_002,47.42786720395088,75.41589856147766
TEST_003,11.085646376013756,30.920165479183197
TEST_004,35.265773832798004,54.64987836778163
TEST_005,36.00619539618492,64.01865303516388
TEST_006,15.566370598971844,30.81303253769875
TEST_007,32.16915428638458,63.2231330871582
TEST_008,13.765751011669636,29.96117576956749
TEST_009,17.466417271643877,50.08600506931543
TEST_010,23.591101728379726,40.208171755075455
TEST_011,28.981012254953388,46.01647526025772
TEST_012,42.207844257354736,61.1363111436367
TEST_013,22.22593665122986,60.90941309928895
TEST_014,20.832271575927734,32.37071231007576
TEST_015,21.302826702594757,55.12472128495573
TEST_016,68.38188767433167,70.13764768838882
TEST_017,23.243826180696487,38.58788713812828
TEST_018,44.03713755309582,61.40736818313599
TEST_019,19.365743398666382,48.55957716703415
TEST_020,23.86375665664673,45.15507459640503
TEST_021,12.236697729676962,28.884880468249317
TEST_022,26.91668845713139,36.066014021635056
TEST_023,26.94940403103828,61.65791183710099
TEST_024,15.735875964164734,23.869024217128754
TEST_025,30.899035185575485,62.268639504909515
TEST_026,42.30232521891594,63.53421747684479
TEST_027,28.460342474281784,43.001627027988434
TEST_028,28.995875269174576,58.3425298333168
TEST_029,16.54942709952593,25.261441022157673
TEST_030,58.45482438802719,83.55190455913544
TEST_031,19.0825118124485,38.01068052649498
TEST_032,13.924575746059418,48.61924260854721
TEST_033,27.782913818955425,45.7010255753994
TEST_034,26.282225623726845,45.054944176226854
TEST_035,19.21993013471365,35.97163178026676
TEST_036,37.776470482349396,68.33486407995224
TEST_037,41.14318996667862,60.111263543367386
TEST_038,28.199042826890945,57.737284600734704
TEST_039,22.864159494638443,51.45658075809478
TEST_040,56.826015412807465,77.80014872550964
TEST_041,49.97021108865738,69.24179002642632
TEST_042,24.838972613215446,32.05171465873718
TEST_043,27.880243603140116,36.79628074169159
TEST_044,11.777616180479527,27.974201589822766
TEST_045,65.72479844093323,76.80586040019989
TEST_046,22.433411292731762,56.33825033903121
TEST_047,10.4328553378582,22.36735340207815
TEST_048,51.28926634788513,68.05115029215813
TEST_049,46.765237525105476,67.16625899076462
TEST_050,23.011916801333427,42.013793885707855
TEST_051,17.019792571663857,40.29085084795952
TEST_052,22.401222735643387,29.844548255205154
TEST_053,17.301348047330976,26.71524897217751
TEST_054,10.263952184468508,28.647844344377514
TEST_055,12.289850898087025,22.873539999127388
TEST_056,39.21702817082405,64.1932812333107
TEST_057,33.70448052883148,44.31927815079689
TEST_058,10.158803164958954,14.454625323414803
TEST_059,33.264577984809875,45.983385518193245
TEST_060,9.203751254826784,19.171660766005516
TEST_061,-0.38344345055520535,18.375481367111206
TEST_062,22.144279200583696,33.20537954568863
TEST_063,60.51803410053254,74.42651011049747
TEST_064,48.869165778160095,69.39008951187134
TEST_065,41.333182603120804,67.09819823503494
TEST_066,10.979841277003288,40.52555054426193
TEST_067,78.3071717619896,85.31655550003052
TEST_068,13.716132156550884,37.65634089708328
TEST_069,18.68406370282173,43.292528092861176
TEST_070,34.389754235744476,60.69044828414917
TEST_071,7.809277796186506,26.279037836939096
TEST_072,30.262108668684963,51.95957750082017
TEST_073,33.363873064517975,66.29352807998657
TEST_074,28.32678809762001,42.382768392562866
TEST_075,18.847362212836742,34.75717090070248
TEST_076,60.01977860927582,79.06161785125732
TEST_077,14.361329600214958,36.548152416944504
TEST_078,27.914177291095253,35.040205270051956
TEST_079,40.38283362984657,43.27904291450977
TEST_080,39.61721360683441,64.42401349544525
TEST_081,48.83108615875244,52.66278311610222
TEST_082,25.20715817809105,44.021582901477814
TEST_083,14.824716188013554,23.001554533839226
TEST_084,13.37432533502579,37.740975469350815
TEST_085,13.339929860085247,33.152426201850176
TEST_086,56.453271508216865,69.75704550743103
TEST_087,46.489280462265015,55.09365171194076
TEST_088,48.24884980916977,73.89394223690033
TEST_089,20.691554695367813,45.68895876407623
TEST_090,51.733148992061615,54.05542701482773
TEST_091,16.639401726424694,32.43012711405754
TEST_092,74.5598429441452,90.24065971374512
TEST_093,19.401827938854694,41.84989891946316
TEST_094,56.224041879177086,56.761494874954224
TEST_095,38.914803862571716,62.10526704788209
TEST_096,23.613715395331383,33.01400542259216
TEST_097,74.97535943984985,79.09850105643272
TEST_098,8.551811929792166,31.75961825996637
TEST_099,16.79692681878805,29.59441296756268
TEST_100,38.19654777646065,63.876448273658745
TEST_101,13.450830578804016,39.002466797828674
TEST_102,34.05608154833317,51.01201385259628
TEST_103,11.855055652558804,32.62970507144928
TEST_104,19.515206143260002,46.53495728969574
TEST_105,42.703191339969635,69.91698086261749
TEST_106,17.753426004201174,41.96398928761482
TEST_107,40.01985087990761,47.37125650048256
TEST_108,45.09194195270538,74.68856155872345
TEST_109,15.236549600958824,28.27604867517948
TEST_110,3.6555271688848734,39.75722849369049
TEST_111,5.380711108446121,26.007166877388954
TEST_112,22.524883300065994,31.274487972259525
TEST_113,29.0723429620266,43.93355771899223
TEST_114,4.855651147663593,34.09890556707978
TEST_115,10.717999339103699,34.2291034758091
TEST_116,15.509506426751612,33.04568946361542
TEST_117,31.098527703434232,52.60547831654549
TEST_118,1.7877042666077612,11.075728610157967
TEST_119,45.27021035552025,60.217689871788025
TEST_120,16.71129010617733,34.119199961423874
TEST_121,17.556978538632393,45.13592779636383
TEST_122,7.731429934501648,20.4306885227561
TEST_123,28.640091437846422,49.68854993581772
TEST_124,19.81114512309432,42.258736193180084
TEST_125,29.086466468870643,50.1580411195755
TEST_126,20.662812367081642,44.13432538509369
TEST_127,33.53227913379669,56.84385374188423
TEST_128,19.788395166397095,32.154902666807175
TEST_129,14.933062940835953,42.22421705722809
TEST_130,10.390552580356598,33.58983460813761
TEST_131,18.25402319431305,40.876480638980865
TEST_132,8.816669154912233,32.16824173927307
TEST_133,42.83726394176483,55.315958857536316
TEST_134,29.60914671421051,53.80642920732498
TEST_135,52.88204550743103,71.88541829586029
TEST_136,50.44487528502941,58.5313306748867
TEST_137,20.673044696450233,29.582938523963094
TEST_138,30.162949338555332,36.56439691781998
TEST_139,58.37303161621094,72.28481590747833
TEST_140,15.574006997048857,44.392167925834656
TEST_141,34.45556655526161,43.509591817855835
TEST_142,73.20910215377808,77.86230266094208
TEST_143,52.247370332479484,64.0910056233406
TEST_144,41.98557510972023,53.4622186422348
TEST_145,26.06185987591744,38.290603309869766
TEST_146,62.60909914970399,69.26831811666489
TEST_147,39.61059480905533,69.15482893586159
TEST_148,30.62972843647003,59.24514651298522
TEST_149,13.7477033957839,39.776863008737564
TEST_150,22.766877114772797,54.72989618778229
TEST_151,22.812068611383438,42.86503508687019
TEST_152,18.884248416870832,41.193848475813866
TEST_153,8.75827619805932,26.359564550220966
TEST_154,32.58103743195534,69.66954052448273
TEST_155,30.78481458127499,50.68291530013085
TEST_156,7.589657697826624,41.476019769907
TEST_157,24.78047862648964,47.350282073020935
TEST_158,10.798505656421185,30.672764554619793
TEST_159,28.239293545484546,40.78791707754135
TEST_160,26.816949285566803,49.374348521232605
TEST_161,21.407398581504822,41.443266570568085
TEST_162,78.85745704174042,86.5905225276947
TEST_163,73.99766832590103,79.79180753231049
TEST_164,39.67499665915966,58.70153188705445
TEST_165,17.376405373215675,40.205741077661514
TEST_166,4.028599411249161,34.77129548788071
TEST_167,-1.6509181819856167,11.708824373781681
TEST_168,76.40934109687805,86.76352500915527
TEST_169,29.37347061932087,56.56294226646423
TEST_170,17.986938692629337,37.91031211614609
TEST_171,21.812964528799057,41.459298357367516
TEST_172,34.58594486117363,66.88832312822342
TEST_173,23.68403173983097,32.43407055735588
TEST_174,12.167676286771894,24.15051445364952
TEST_175,47.83954292535782,67.28051662445068
TEST_176,73.37080240249634,89.87713515758514
TEST_177,11.618058793246746,45.543362647295
TEST_178,33.78595024347305,55.34773945808411
TEST_179,42.07736983895302,60.600270628929145
TEST_180,17.21003144979477,31.053185909986496
TEST_181,38.79594728350639,65.67776679992676
TEST_182,21.0213503241539,47.8032648563385
TEST_183,13.010124675929546,32.59226456284523
TEST_184,35.96178889274597,47.12013417854905
TEST_185,11.69492794200778,19.78284826502204
TEST_186,10.87795402854681,18.65326981060207
TEST_187,5.06671030074358,29.546095281839367
TEST_188,11.449677161872387,18.453093841671944
TEST_189,44.01738703250885,74.95253920555115
TEST_190,8.560078665614128,24.494532495737076
TEST_191,47.60409593582153,77.7249476313591
TEST_192,17.298457771539688,36.80790051817894
TEST_193,16.49440959095955,19.97409362345934
TEST_194,5.010654702782631,10.98744391463697
TEST_195,-6.10809750854969,9.41000934690237
TEST_196,33.96645396947861,59.14369285106659
TEST_197,28.794063776731495,41.908128708601
TEST_198,23.36790233850479,48.270500004291534
TEST_199,43.38350147008896,55.51534280180931
TEST_200,22.40250915288925,57.93814569711685
