id,MLM,HLM
TEST_000,-16.979093551635742,-16.979045867919922
TEST_001,59.92891311645508,59.92890548706055
TEST_002,35.01454544067383,35.014522552490234
TEST_003,34.87458419799805,34.87458419799805
TEST_004,59.73358917236328,59.733585357666016
TEST_005,61.8675422668457,61.86753463745117
TEST_006,-49.053627014160156,-49.05362319946289
TEST_007,-52.843788146972656,-52.84379196166992
TEST_008,-52.259620666503906,-52.25962448120117
TEST_009,-53.179012298583984,-53.179012298583984
TEST_010,-51.37990188598633,-51.37990188598633
TEST_011,60.361839294433594,60.361839294433594
TEST_012,61.85768127441406,61.8576774597168
TEST_013,-44.78711700439453,-44.78712463378906
TEST_014,-53.27216720581055,-53.27216720581055
TEST_015,60.510799407958984,60.510799407958984
TEST_016,-53.038002014160156,-53.038002014160156
TEST_017,50.00205612182617,50.002071380615234
TEST_018,60.173362731933594,60.17336654663086
TEST_019,61.88710403442383,61.88710021972656
TEST_020,-53.705787658691406,-53.70578384399414
TEST_021,-52.821468353271484,-52.821468353271484
TEST_022,-52.421199798583984,-52.42119216918945
TEST_023,-53.04267501831055,-53.04267501831055
TEST_024,-52.04171371459961,-52.041717529296875
TEST_025,-52.34819793701172,-52.348201751708984
TEST_026,-52.642127990722656,-52.64212417602539
TEST_027,47.671234130859375,47.67123794555664
TEST_028,-52.67746353149414,-52.677467346191406
TEST_029,60.38167190551758,60.381675720214844
TEST_030,-51.79294204711914,-51.79294967651367
TEST_031,-53.16181182861328,-53.16181182861328
TEST_032,-53.279640197753906,-53.27963638305664
TEST_033,-48.740299224853516,-48.740291595458984
TEST_034,-49.189632415771484,-49.18962478637695
TEST_035,-53.5164794921875,-53.5164794921875
TEST_036,-42.88364028930664,-42.8836555480957
TEST_037,22.288700103759766,22.2887020111084
TEST_038,-51.64626693725586,-51.646270751953125
TEST_039,-52.141456604003906,-52.141456604003906
TEST_040,-53.31770706176758,-53.31770706176758
TEST_041,46.00392150878906,46.0039176940918
TEST_042,-52.704524993896484,-52.70451736450195
TEST_043,-52.73258590698242,-52.73258972167969
TEST_044,-51.94483184814453,-51.9448356628418
TEST_045,58.60243225097656,58.60243606567383
TEST_046,-53.299583435058594,-53.299583435058594
TEST_047,-53.099185943603516,-53.099185943603516
TEST_048,61.48648452758789,61.486488342285156
TEST_049,-51.61689758300781,-51.61689758300781
TEST_050,63.2086296081543,63.20863342285156
TEST_051,-53.54661178588867,-53.5466194152832
TEST_052,-40.51738357543945,-40.51737976074219
TEST_053,-46.57779312133789,-46.57778549194336
TEST_054,-52.265132904052734,-52.265132904052734
TEST_055,-51.25516128540039,-51.25516128540039
TEST_056,47.09664535522461,47.0966682434082
TEST_057,-47.578529357910156,-47.57852554321289
TEST_058,-52.484500885009766,-52.484500885009766
TEST_059,-43.81490707397461,-43.81491470336914
TEST_060,-44.59990310668945,-44.599918365478516
TEST_061,61.60429000854492,61.604286193847656
TEST_062,38.57485580444336,38.574825286865234
TEST_063,59.21834182739258,59.218345642089844
TEST_064,-47.276878356933594,-47.276885986328125
TEST_065,27.85169792175293,27.851648330688477
TEST_066,61.94699478149414,61.94699478149414
TEST_067,26.9386043548584,26.93854522705078
TEST_068,44.95695495605469,44.95699691772461
TEST_069,54.768367767333984,54.76837158203125
TEST_070,-53.477169036865234,-53.47716522216797
TEST_071,-51.22589874267578,-51.22590255737305
TEST_072,56.35677719116211,56.35675048828125
TEST_073,58.16200637817383,58.1619987487793
